"";"sample";"sampling";"species";"counts";"gf";"date";"morp";"magnification";"info";"cells_ml";"temperature";"nutrients"
"39";159;1;"dity";0;6;"18.04.";"mix";10;NA;0;12;"Low"
"40";160;1;"dity";0;6;"18.04.";"mix";10;NA;0;12;"HI"
"41";161;1;"dity";3;6;"18.04.";"mix";10;NA;63,9;12;"HI"
"42";162;1;"dity";2;6;"18.04.";"mix";10;NA;42,6;12;"HI"
"43";217;1;"dity";3;6;"18.04.";"mix";10;NA;63,9;15;"Low"
"44";218;1;"dity";7;6;"18.04.";"mix";10;NA;149,1;15;"Low"
"45";219;1;"dity";3;6;"18.04.";"mix";10;NA;63,9;15;"Low"
"46";220;1;"dity";1;6;"18.04.";"mix";10;NA;21,3;15;"HI"
"47";221;1;"dity";1;6;"18.04.";"mix";10;NA;21,3;15;"HI"
"48";222;1;"dity";9;6;"18.04.";"mix";10;NA;191,7;15;"HI"
"49";277;1;"dity";5;6;"18.04.";"mix";10;NA;106,5;18;"Low"
"50";278;1;"dity";6;6;"18.04.";"mix";10;NA;127,8;18;"Low"
"51";279;1;"dity";10;6;"18.04.";"mix";10;NA;213;18;"Low"
"52";280;1;"dity";1;6;"18.04.";"mix";10;NA;21,3;18;"HI"
"53";281;1;"dity";3;6;"18.04.";"mix";10;NA;63,9;18;"HI"
"54";282;1;"dity";4;6;"18.04.";"mix";10;NA;85,2;18;"HI"
"55";337;1;"dity";5;6;"18.04.";"mix";10;NA;106,5;21;"Low"
"56";338;1;"dity";3;6;"18.04.";"mix";10;NA;63,9;21;"Low"
"57";339;1;"dity";7;6;"18.04.";"mix";10;NA;149,1;21;"Low"
"58";340;1;"dity";0;6;"18.04.";"mix";10;NA;0;21;"HI"
"59";341;1;"dity";1;6;"18.04.";"mix";10;NA;21,3;21;"HI"
"60";342;1;"dity";0;6;"18.04.";"mix";10;NA;0;21;"HI"
"61";97;1;"rhizo";2;6;"18.04.";"mix";20;NA;170,4;9;"Low"
"62";98;1;"rhizo";2;6;"18.04.";"mix";20;NA;170,4;9;"Low"
"63";99;1;"rhizo";3;6;"18.04.";"mix";20;NA;255,6;9;"Low"
"64";100;1;"rhizo";1;6;"18.04.";"mix";20;NA;85,2;9;"HI"
"65";101;1;"rhizo";3;6;"18.04.";"mix";20;NA;255,6;9;"HI"
"66";102;1;"rhizo";2;6;"18.04.";"mix";20;NA;170,4;9;"HI"
"67";157;1;"rhizo";4;6;"18.04.";"mix";20;NA;340,8;12;"Low"
"68";158;1;"rhizo";1;6;"18.04.";"mix";20;NA;85,2;12;"Low"
"69";159;1;"rhizo";2;6;"18.04.";"mix";20;NA;170,4;12;"Low"
"70";160;1;"rhizo";2;6;"18.04.";"mix";20;NA;170,4;12;"HI"
"71";161;1;"rhizo";3;6;"18.04.";"mix";20;NA;255,6;12;"HI"
"72";162;1;"rhizo";2;6;"18.04.";"mix";20;NA;170,4;12;"HI"
"73";217;1;"rhizo";3;6;"18.04.";"mix";20;NA;255,6;15;"Low"
"74";218;1;"rhizo";5;6;"18.04.";"mix";20;NA;426;15;"Low"
"75";219;1;"rhizo";3;6;"18.04.";"mix";20;NA;255,6;15;"Low"
"76";220;1;"rhizo";1;6;"18.04.";"mix";20;NA;85,2;15;"HI"
"77";221;1;"rhizo";2;6;"18.04.";"mix";20;NA;170,4;15;"HI"
"78";222;1;"rhizo";2;6;"18.04.";"mix";20;NA;170,4;15;"HI"
"79";277;1;"rhizo";5;6;"18.04.";"mix";20;NA;426;18;"Low"
"80";278;1;"rhizo";2;6;"18.04.";"mix";20;NA;170,4;18;"Low"
"81";279;1;"rhizo";2;6;"18.04.";"mix";20;NA;170,4;18;"Low"
"82";280;1;"rhizo";0;6;"18.04.";"mix";20;NA;0;18;"HI"
"83";281;1;"rhizo";3;6;"18.04.";"mix";20;NA;255,6;18;"HI"
"84";282;1;"rhizo";2;6;"18.04.";"mix";20;NA;170,4;18;"HI"
"85";337;1;"rhizo";3;6;"18.04.";"mix";20;NA;255,6;21;"Low"
"86";338;1;"rhizo";3;6;"18.04.";"mix";20;NA;255,6;21;"Low"
"87";339;1;"rhizo";2;6;"18.04.";"mix";20;NA;170,4;21;"Low"
"88";340;1;"rhizo";1;6;"18.04.";"mix";20;NA;85,2;21;"HI"
"89";341;1;"rhizo";0;6;"18.04.";"mix";20;NA;0;21;"HI"
"90";342;1;"rhizo";0;6;"18.04.";"mix";20;NA;0;21;"HI"
"91";97;1;"guido";4;6;"18.04.";"mix";20;NA;340,8;9;"Low"
"92";98;1;"guido";2;6;"18.04.";"mix";20;NA;170,4;9;"Low"
"93";99;1;"guido";7;6;"18.04.";"mix";20;NA;596,4;9;"Low"
"94";100;1;"guido";2;6;"18.04.";"mix";20;NA;170,4;9;"HI"
"95";101;1;"guido";3;6;"18.04.";"mix";20;NA;255,6;9;"HI"
"96";102;1;"guido";3;6;"18.04.";"mix";20;NA;255,6;9;"HI"
"97";157;1;"guido";6;6;"18.04.";"mix";20;NA;511,2;12;"Low"
"98";158;1;"guido";4;6;"18.04.";"mix";20;NA;340,8;12;"Low"
"99";159;1;"guido";1;6;"18.04.";"mix";20;NA;85,2;12;"Low"
"100";160;1;"guido";3;6;"18.04.";"mix";20;NA;255,6;12;"HI"
"101";161;1;"guido";2;6;"18.04.";"mix";20;NA;170,4;12;"HI"
"102";162;1;"guido";5;6;"18.04.";"mix";20;NA;426;12;"HI"
"103";217;1;"guido";4;6;"18.04.";"mix";20;NA;340,8;15;"Low"
"104";218;1;"guido";4;6;"18.04.";"mix";20;NA;340,8;15;"Low"
"105";219;1;"guido";4;6;"18.04.";"mix";20;NA;340,8;15;"Low"
"106";220;1;"guido";3;6;"18.04.";"mix";20;NA;255,6;15;"HI"
"107";221;1;"guido";6;6;"18.04.";"mix";20;NA;511,2;15;"HI"
"108";222;1;"guido";2;6;"18.04.";"mix";20;NA;170,4;15;"HI"
"109";277;1;"guido";3;6;"18.04.";"mix";20;NA;255,6;18;"Low"
"110";278;1;"guido";10;6;"18.04.";"mix";20;NA;852;18;"Low"
"111";279;1;"guido";7;6;"18.04.";"mix";20;NA;596,4;18;"Low"
"112";280;1;"guido";1;6;"18.04.";"mix";20;NA;85,2;18;"HI"
"113";281;1;"guido";3;6;"18.04.";"mix";20;NA;255,6;18;"HI"
"114";282;1;"guido";3;6;"18.04.";"mix";20;NA;255,6;18;"HI"
"115";337;1;"guido";5;6;"18.04.";"mix";20;NA;426;21;"Low"
"116";338;1;"guido";2;6;"18.04.";"mix";20;NA;170,4;21;"Low"
"117";339;1;"guido";4;6;"18.04.";"mix";20;NA;340,8;21;"Low"
"118";340;1;"guido";5;6;"18.04.";"mix";20;NA;426;21;"HI"
"119";341;1;"guido";3;6;"18.04.";"mix";20;NA;255,6;21;"HI"
"120";342;1;"guido";0;6;"18.04.";"mix";20;NA;0;21;"HI"
"121";97;1;"odontella";1;10;"18.04.";"mix";10;NA;12,78;9;"Low"
"122";98;1;"odontella";1;10;"18.04.";"mix";10;NA;12,78;9;"Low"
"123";99;1;"odontella";2;10;"18.04.";"mix";10;NA;25,56;9;"Low"
"124";100;1;"odontella";0;10;"18.04.";"mix";10;NA;0;9;"HI"
"125";101;1;"odontella";0;10;"18.04.";"mix";10;NA;0;9;"HI"
"126";102;1;"odontella";0;10;"18.04.";"mix";10;NA;0;9;"HI"
"127";157;1;"odontella";1;10;"18.04.";"mix";10;NA;12,78;12;"Low"
"128";158;1;"odontella";0;10;"18.04.";"mix";10;NA;0;12;"Low"
"129";159;1;"odontella";1;10;"18.04.";"mix";10;NA;12,78;12;"Low"
"130";160;1;"odontella";0;10;"18.04.";"mix";10;NA;0;12;"HI"
"131";161;1;"odontella";0;10;"18.04.";"mix";10;NA;0;12;"HI"
"132";162;1;"odontella";0;10;"18.04.";"mix";10;NA;0;12;"HI"
"133";217;1;"odontella";0;10;"18.04.";"mix";10;NA;0;15;"Low"
"134";218;1;"odontella";0;10;"18.04.";"mix";10;NA;0;15;"Low"
"135";219;1;"odontella";2;10;"18.04.";"mix";10;NA;25,56;15;"Low"
"136";220;1;"odontella";0;10;"18.04.";"mix";10;NA;0;15;"HI"
"137";221;1;"odontella";1;10;"18.04.";"mix";10;NA;12,78;15;"HI"
"138";222;1;"odontella";0;10;"18.04.";"mix";10;NA;0;15;"HI"
"139";277;1;"odontella";2;10;"18.04.";"mix";10;NA;25,56;18;"Low"
"140";278;1;"odontella";0;10;"18.04.";"mix";10;NA;0;18;"Low"
"141";279;1;"odontella";1;10;"18.04.";"mix";10;NA;12,78;18;"Low"
"142";280;1;"odontella";2;10;"18.04.";"mix";10;NA;25,56;18;"HI"
"143";281;1;"odontella";0;10;"18.04.";"mix";10;NA;0;18;"HI"
"144";282;1;"odontella";2;10;"18.04.";"mix";10;NA;25,56;18;"HI"
"145";337;1;"odontella";2;10;"18.04.";"mix";10;NA;25,56;21;"Low"
"146";338;1;"odontella";2;10;"18.04.";"mix";10;NA;25,56;21;"Low"
"147";339;1;"odontella";2;10;"18.04.";"mix";10;NA;25,56;21;"Low"
"148";340;1;"odontella";0;10;"18.04.";"mix";10;NA;0;21;"HI"
"149";341;1;"odontella";2;10;"18.04.";"mix";10;NA;25,56;21;"HI"
"150";342;1;"odontella";0;10;"18.04.";"mix";10;NA;0;21;"HI"
"151";103;1;"asterio";46;6;"18.04.";"pulse";20;NA;3919,2;9;"Low"
"152";104;1;"asterio";54;6;"18.04.";"pulse";20;NA;4600,8;9;"Low"
"153";105;1;"asterio";44;6;"18.04.";"pulse";20;NA;3748,8;9;"Low"
"154";106;1;"asterio";21;6;"18.04.";"pulse";20;NA;1789,2;9;"HI"
"155";107;1;"asterio";10;6;"18.04.";"pulse";20;NA;852;9;"HI"
"156";108;1;"asterio";4;6;"18.04.";"pulse";20;NA;340,8;9;"HI"
"157";163;1;"asterio";99;6;"18.04.";"pulse";20;NA;8434,8;12;"Low"
"158";164;1;"asterio";87;6;"18.04.";"pulse";20;NA;7412,4;12;"Low"
"159";165;1;"asterio";60;6;"18.04.";"pulse";20;NA;5112;12;"Low"
"160";166;1;"asterio";0;6;"18.04.";"pulse";20;NA;0;12;"HI"
"161";167;1;"asterio";12;6;"18.04.";"pulse";20;NA;1022,4;12;"HI"
"162";168;1;"asterio";17;6;"18.04.";"pulse";20;NA;1448,4;12;"HI"
"163";223;1;"asterio";49;6;"18.04.";"pulse";20;NA;4174,8;15;"Low"
"164";224;1;"asterio";114;6;"18.04.";"pulse";20;NA;9712,8;15;"Low"
"165";225;1;"asterio";87;6;"18.04.";"pulse";20;NA;7412,4;15;"Low"
"166";226;1;"asterio";6;6;"18.04.";"pulse";20;NA;511,2;15;"HI"
"167";227;1;"asterio";9;6;"18.04.";"pulse";20;NA;766,8;15;"HI"
"168";228;1;"asterio";6;6;"18.04.";"pulse";20;NA;511,2;15;"HI"
"169";283;1;"asterio";97;6;"18.04.";"pulse";20;NA;8264,4;18;"Low"
"170";284;1;"asterio";88;6;"18.04.";"pulse";20;NA;7497,6;18;"Low"
"171";285;1;"asterio";90;6;"18.04.";"pulse";20;NA;7668;18;"Low"
"172";286;1;"asterio";20;6;"18.04.";"pulse";20;NA;1704;18;"HI"
"173";287;1;"asterio";1;6;"18.04.";"pulse";20;NA;85,2;18;"HI"
"174";288;1;"asterio";8;6;"18.04.";"pulse";20;NA;681,6;18;"HI"
"175";343;1;"asterio";97;6;"18.04.";"pulse";20;NA;8264,4;21;"Low"
"176";344;1;"asterio";90;6;"18.04.";"pulse";20;NA;7668;21;"Low"
"177";345;1;"asterio";113;6;"18.04.";"pulse";20;NA;9627,6;21;"Low"
"178";346;1;"asterio";10;6;"18.04.";"pulse";20;NA;852;21;"HI"
"179";347;1;"asterio";5;6;"18.04.";"pulse";20;NA;426;21;"HI"
"180";348;1;"asterio";2;6;"18.04.";"pulse";20;NA;170,4;21;"HI"
"181";103;1;"rhizo";4;6;"18.04.";"pulse";20;NA;340,8;9;"Low"
"182";104;1;"rhizo";1;6;"18.04.";"pulse";20;NA;85,2;9;"Low"
"183";105;1;"rhizo";3;6;"18.04.";"pulse";20;NA;255,6;9;"Low"
"184";106;1;"rhizo";0;6;"18.04.";"pulse";20;NA;0;9;"HI"
"185";107;1;"rhizo";1;6;"18.04.";"pulse";20;NA;85,2;9;"HI"
"186";108;1;"rhizo";2;6;"18.04.";"pulse";20;NA;170,4;9;"HI"
"187";163;1;"rhizo";4;6;"18.04.";"pulse";20;NA;340,8;12;"Low"
"188";164;1;"rhizo";2;6;"18.04.";"pulse";20;NA;170,4;12;"Low"
"189";165;1;"rhizo";3;6;"18.04.";"pulse";20;NA;255,6;12;"Low"
"190";166;1;"rhizo";1;6;"18.04.";"pulse";20;NA;85,2;12;"HI"
"191";167;1;"rhizo";3;6;"18.04.";"pulse";20;NA;255,6;12;"HI"
"192";168;1;"rhizo";2;6;"18.04.";"pulse";20;NA;170,4;12;"HI"
"193";223;1;"rhizo";1;6;"18.04.";"pulse";20;NA;85,2;15;"Low"
"194";224;1;"rhizo";2;6;"18.04.";"pulse";20;NA;170,4;15;"Low"
"195";225;1;"rhizo";4;6;"18.04.";"pulse";20;NA;340,8;15;"Low"
"196";226;1;"rhizo";0;6;"18.04.";"pulse";20;NA;0;15;"HI"
"197";227;1;"rhizo";1;6;"18.04.";"pulse";20;NA;85,2;15;"HI"
"198";228;1;"rhizo";1;6;"18.04.";"pulse";20;NA;85,2;15;"HI"
"199";283;1;"rhizo";2;6;"18.04.";"pulse";20;NA;170,4;18;"Low"
"200";284;1;"rhizo";2;6;"18.04.";"pulse";20;NA;170,4;18;"Low"
"201";285;1;"rhizo";1;6;"18.04.";"pulse";20;NA;85,2;18;"Low"
"202";286;1;"rhizo";1;6;"18.04.";"pulse";20;NA;85,2;18;"HI"
"203";287;1;"rhizo";0;6;"18.04.";"pulse";20;NA;0;18;"HI"
"204";288;1;"rhizo";1;6;"18.04.";"pulse";20;NA;85,2;18;"HI"
"205";343;1;"rhizo";1;6;"18.04.";"pulse";20;NA;85,2;21;"Low"
"206";344;1;"rhizo";1;6;"18.04.";"pulse";20;NA;85,2;21;"Low"
"207";345;1;"rhizo";0;6;"18.04.";"pulse";20;NA;0;21;"Low"
"208";346;1;"rhizo";0;6;"18.04.";"pulse";20;NA;0;21;"HI"
"209";347;1;"rhizo";1;6;"18.04.";"pulse";20;NA;85,2;21;"HI"
"210";348;1;"rhizo";3;6;"18.04.";"pulse";20;NA;255,6;21;"HI"
"211";103;1;"guido";1;6;"18.04.";"pulse";20;NA;85,2;9;"Low"
"212";104;1;"guido";0;6;"18.04.";"pulse";20;NA;0;9;"Low"
"213";105;1;"guido";4;6;"18.04.";"pulse";20;NA;340,8;9;"Low"
"214";106;1;"guido";3;6;"18.04.";"pulse";20;NA;255,6;9;"HI"
"215";107;1;"guido";3;6;"18.04.";"pulse";20;NA;255,6;9;"HI"
"216";108;1;"guido";1;6;"18.04.";"pulse";20;NA;85,2;9;"HI"
"217";163;1;"guido";4;6;"18.04.";"pulse";20;NA;340,8;12;"Low"
"218";164;1;"guido";5;6;"18.04.";"pulse";20;NA;426;12;"Low"
"219";165;1;"guido";11;6;"18.04.";"pulse";20;NA;937,2;12;"Low"
"220";166;1;"guido";4;6;"18.04.";"pulse";20;NA;340,8;12;"HI"
"221";167;1;"guido";4;6;"18.04.";"pulse";20;NA;340,8;12;"HI"
"222";168;1;"guido";4;6;"18.04.";"pulse";20;NA;340,8;12;"HI"
"223";223;1;"guido";6;6;"18.04.";"pulse";20;NA;511,2;15;"Low"
"224";224;1;"guido";8;6;"18.04.";"pulse";20;NA;681,6;15;"Low"
"225";225;1;"guido";1;6;"18.04.";"pulse";20;NA;85,2;15;"Low"
"226";226;1;"guido";10;6;"18.04.";"pulse";20;NA;852;15;"HI"
"227";227;1;"guido";3;6;"18.04.";"pulse";20;NA;255,6;15;"HI"
"228";228;1;"guido";2;6;"18.04.";"pulse";20;NA;170,4;15;"HI"
"229";283;1;"guido";3;6;"18.04.";"pulse";20;NA;255,6;18;"Low"
"230";284;1;"guido";3;6;"18.04.";"pulse";20;NA;255,6;18;"Low"
"231";285;1;"guido";4;6;"18.04.";"pulse";20;NA;340,8;18;"Low"
"232";286;1;"guido";2;6;"18.04.";"pulse";20;NA;170,4;18;"HI"
"233";287;1;"guido";2;6;"18.04.";"pulse";20;NA;170,4;18;"HI"
"234";288;1;"guido";7;6;"18.04.";"pulse";20;NA;596,4;18;"HI"
"235";343;1;"guido";5;6;"18.04.";"pulse";20;NA;426;21;"Low"
"236";344;1;"guido";4;6;"18.04.";"pulse";20;NA;340,8;21;"Low"
"237";345;1;"guido";3;6;"18.04.";"pulse";20;NA;255,6;21;"Low"
"238";346;1;"guido";1;6;"18.04.";"pulse";20;NA;85,2;21;"HI"
"239";347;1;"guido";0;6;"18.04.";"pulse";20;NA;0;21;"HI"
"240";348;1;"guido";3;6;"18.04.";"pulse";20;NA;255,6;21;"HI"
"241";103;1;"dity";8;6;"18.04.";"pulse";10;NA;170,4;9;"Low"
"242";104;1;"dity";11;6;"18.04.";"pulse";10;NA;234,3;9;"Low"
"243";105;1;"dity";5;6;"18.04.";"pulse";10;NA;106,5;9;"Low"
"244";106;1;"dity";0;6;"18.04.";"pulse";10;NA;0;9;"HI"
"245";107;1;"dity";2;6;"18.04.";"pulse";10;NA;42,6;9;"HI"
"246";108;1;"dity";0;6;"18.04.";"pulse";10;NA;0;9;"HI"
"247";163;1;"dity";4;6;"18.04.";"pulse";10;NA;85,2;12;"Low"
"248";164;1;"dity";2;6;"18.04.";"pulse";10;NA;42,6;12;"Low"
"249";165;1;"dity";2;6;"18.04.";"pulse";10;NA;42,6;12;"Low"
"250";166;1;"dity";1;6;"18.04.";"pulse";10;NA;21,3;12;"HI"
"251";167;1;"dity";0;6;"18.04.";"pulse";10;NA;0;12;"HI"
"252";168;1;"dity";2;6;"18.04.";"pulse";10;NA;42,6;12;"HI"
"253";223;1;"dity";7;6;"18.04.";"pulse";10;NA;149,1;15;"Low"
"254";224;1;"dity";9;6;"18.04.";"pulse";10;NA;191,7;15;"Low"
"255";225;1;"dity";5;6;"18.04.";"pulse";10;NA;106,5;15;"Low"
"256";226;1;"dity";4;6;"18.04.";"pulse";10;NA;85,2;15;"HI"
"257";227;1;"dity";3;6;"18.04.";"pulse";10;NA;63,9;15;"HI"
"258";228;1;"dity";2;6;"18.04.";"pulse";10;NA;42,6;15;"HI"
"259";283;1;"dity";3;6;"18.04.";"pulse";10;NA;63,9;18;"Low"
"260";284;1;"dity";14;6;"18.04.";"pulse";10;NA;298,2;18;"Low"
"261";285;1;"dity";3;6;"18.04.";"pulse";10;NA;63,9;18;"Low"
"262";286;1;"dity";3;6;"18.04.";"pulse";10;NA;63,9;18;"HI"
"263";287;1;"dity";0;6;"18.04.";"pulse";10;NA;0;18;"HI"
"264";288;1;"dity";1;6;"18.04.";"pulse";10;NA;21,3;18;"HI"
"265";343;1;"dity";7;6;"18.04.";"pulse";10;NA;149,1;21;"Low"
"266";344;1;"dity";8;6;"18.04.";"pulse";10;NA;170,4;21;"Low"
"267";345;1;"dity";6;6;"18.04.";"pulse";10;NA;127,8;21;"Low"
"268";346;1;"dity";4;6;"18.04.";"pulse";10;NA;85,2;21;"HI"
"269";347;1;"dity";0;6;"18.04.";"pulse";10;NA;0;21;"HI"
"270";348;1;"dity";3;6;"18.04.";"pulse";10;NA;63,9;21;"HI"
"271";103;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;9;"Low"
"272";104;1;"odontella";1;10;"18.04.";"pulse";10;NA;12,78;9;"Low"
"273";105;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;9;"Low"
"274";106;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;9;"HI"
"275";107;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;9;"HI"
"276";108;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;9;"HI"
"277";163;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;12;"Low"
"278";164;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;12;"Low"
"279";165;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;12;"Low"
"280";166;1;"odontella";2;10;"18.04.";"pulse";10;NA;25,56;12;"HI"
"281";167;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;12;"HI"
"282";168;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;12;"HI"
"283";223;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;15;"Low"
"284";224;1;"odontella";3;10;"18.04.";"pulse";10;NA;38,34;15;"Low"
"285";225;1;"odontella";1;10;"18.04.";"pulse";10;NA;12,78;15;"Low"
"286";226;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;15;"HI"
"287";227;1;"odontella";1;10;"18.04.";"pulse";10;NA;12,78;15;"HI"
"288";228;1;"odontella";1;10;"18.04.";"pulse";10;NA;12,78;15;"HI"
"289";283;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;18;"Low"
"290";284;1;"odontella";1;10;"18.04.";"pulse";10;NA;12,78;18;"Low"
"291";285;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;18;"Low"
"292";286;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;18;"HI"
"293";287;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;18;"HI"
"294";288;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;18;"HI"
"295";343;1;"odontella";1;10;"18.04.";"pulse";10;NA;12,78;21;"Low"
"296";344;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;21;"Low"
"297";345;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;21;"Low"
"298";346;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;21;"HI"
"299";347;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;21;"HI"
"300";348;1;"odontella";0;10;"18.04.";"pulse";10;NA;0;21;"HI"
"301";97;7;"asterio";593;6;"30.04.";"mix";20;NA;50523,6;9;"Low"
"302";98;7;"asterio";606;6;"30.04.";"mix";20;NA;51631,2;9;"Low"
"303";99;7;"asterio";599;6;"30.04.";"mix";20;NA;51034,8;9;"Low"
"304";100;7;"asterio";297;6;"30.04.";"mix";20;NA;25304,4;9;"HI"
"305";101;7;"asterio";508;6;"30.04.";"mix";20;NA;43281,6;9;"HI"
"306";102;7;"asterio";470;6;"30.04.";"mix";20;NA;40044;9;"HI"
"307";157;7;"asterio";352;6;"30.04.";"mix";20;NA;29990,4;12;"Low"
"308";158;7;"asterio";263;6;"30.04.";"mix";20;NA;22407,6;12;"Low"
"309";159;7;"asterio";282;6;"30.04.";"mix";20;NA;24026,4;12;"Low"
"310";160;7;"asterio";282;6;"30.04.";"mix";20;NA;24026,4;12;"HI"
"311";161;7;"asterio";202;6;"30.04.";"mix";20;NA;17210,4;12;"HI"
"312";162;7;"asterio";240;6;"30.04.";"mix";20;NA;20448;12;"HI"
"313";217;7;"asterio";969;6;"30.04.";"mix";20;NA;82558,8;15;"Low"
"314";218;7;"asterio";933;6;"30.04.";"mix";20;NA;79491,6;15;"Low"
"315";219;7;"asterio";983;6;"30.04.";"mix";20;NA;83751,6;15;"Low"
"316";220;7;"asterio";888;6;"30.04.";"mix";20;NA;75657,6;15;"HI"
"317";221;7;"asterio";991;6;"30.04.";"mix";20;NA;84433,2;15;"HI"
"318";222;7;"asterio";858;6;"30.04.";"mix";20;NA;73101,6;15;"HI"
"319";277;7;"asterio";1135;6;"30.04.";"mix";20;NA;96702;18;"Low"
"320";278;7;"asterio";756;6;"30.04.";"mix";20;NA;64411,2;18;"Low"
"321";279;7;"asterio";245;6;"30.04.";"mix";40;NA;83496;18;"Low"
"322";280;7;"asterio";134;6;"30.04.";"mix";40;NA;45667,2;18;"HI"
"323";281;7;"asterio";105;6;"30.04.";"mix";40;NA;35784;18;"HI"
"324";282;7;"asterio";145;6;"30.04.";"mix";40;NA;49416;18;"HI"
"325";337;7;"asterio";312;6;"30.04.";"mix";40;NA;106329,6;21;"Low"
"326";338;7;"asterio";379;6;"30.04.";"mix";40;NA;129163,2;21;"Low"
"327";339;7;"asterio";305;6;"30.04.";"mix";40;NA;103944;21;"Low"
"328";340;7;"asterio";283;6;"30.04.";"mix";40;NA;96446,4;21;"HI"
"329";341;7;"asterio";295;6;"30.04.";"mix";40;NA;100536;21;"HI"
"330";342;7;"asterio";282;6;"30.04.";"mix";40;NA;96105,6;21;"HI"
"331";97;7;"rhizo";5;6;"30.04.";"mix";20;NA;426;9;"Low"
